REGION,SITE,PLOT,TREATMENT,SEASON,SPECIES,ABUNDANCE
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0.1875
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0.3125
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0.125
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,1,FS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.1875
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.25
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0.3125
CARMEL,SOUTH,2,IS,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0.125
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0.125
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0.25
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,3,CONTROL,Spring 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0.3125
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0.1875
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0.375
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0.1875
CARMEL,SOUTH,4,FW,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0.25
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,1,FS,Spring 2016,ARTCOR,0.3125
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0.25
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0.375
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0.125
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,2,IS,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0.375
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0.3125
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0.625
CARMEL,CENTRAL,3,FW,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0.3125
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0.3125
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0.1875
CARMEL,CENTRAL,4,CONTROL,Spring 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.0625
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0
CARMEL,NORTH,1,CONTROL,Spring 2016,ARTCOR,0.375
