REGION,SITE,PLOT,TREATMENT,SEASON,SPECIES,ABUNDANCE
POINT LOMA,SOUTH,1,FS,Fall 2015,Acrosorium venulosum,0.714285714
POINT LOMA,SOUTH,1,FS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,SOUTH,1,FS,Fall 2015,Acrosorium venulosum,0.428571429
POINT LOMA,SOUTH,2,FW,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,SOUTH,2,FW,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,SOUTH,2,FW,Fall 2015,Acrosorium venulosum,0.428571429
POINT LOMA,SOUTH,3,CONTROL,Fall 2015,Acrosorium venulosum,0.714285714
POINT LOMA,SOUTH,3,CONTROL,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,SOUTH,3,CONTROL,Fall 2015,Acrosorium venulosum,0
POINT LOMA,SOUTH,4,IS,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,SOUTH,4,IS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,SOUTH,4,IS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,CENTRAL,1,IS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,CENTRAL,1,IS,Fall 2015,Acrosorium venulosum,0
POINT LOMA,CENTRAL,1,IS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,CENTRAL,2,FW,Fall 2015,Acrosorium venulosum,0.428571429
POINT LOMA,CENTRAL,2,FW,Fall 2015,Acrosorium venulosum,0
POINT LOMA,CENTRAL,2,FW,Fall 2015,Acrosorium venulosum,0.714285714
POINT LOMA,CENTRAL,3,FS,Fall 2015,Acrosorium venulosum,0
POINT LOMA,CENTRAL,3,FS,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,CENTRAL,3,FS,Fall 2015,Acrosorium venulosum,0.571428571
POINT LOMA,CENTRAL,4,CONTROL,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,CENTRAL,4,CONTROL,Fall 2015,Acrosorium venulosum,0
POINT LOMA,CENTRAL,4,CONTROL,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,NORTH,1,FW,Fall 2015,Acrosorium venulosum,0
POINT LOMA,NORTH,1,FW,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,NORTH,1,FW,Fall 2015,Acrosorium venulosum,0
POINT LOMA,NORTH,2,FS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,NORTH,2,FS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,NORTH,2,FS,Fall 2015,Acrosorium venulosum,0.428571429
POINT LOMA,NORTH,3,IS,Fall 2015,Acrosorium venulosum,0.285714286
POINT LOMA,NORTH,3,IS,Fall 2015,Acrosorium venulosum,0
POINT LOMA,NORTH,3,IS,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,NORTH,4,CONTROL,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,NORTH,4,CONTROL,Fall 2015,Acrosorium venulosum,0
POINT LOMA,NORTH,4,CONTROL,Fall 2015,Acrosorium venulosum,0.142857143
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0.75
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0.625
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0.625
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0.5625
POINT LOMA,SOUTH,1,FS,Spring 2016,Acrosorium venulosum,0
