"SITE_DAY","REGION","SITE","PLOT","TREATMENT","SEASON","SPECIES","ABUNDANCE"
1,"POINT LOMA","SOUTH",1,"FS","Fall 2015","Acrosorium venulosum",0.714285714285714
1,"POINT LOMA","SOUTH",1,"FS","Fall 2015","Acrosorium venulosum",0.142857142857143
1,"POINT LOMA","SOUTH",1,"FS","Fall 2015","Acrosorium venulosum",0.428571428571429
1,"POINT LOMA","SOUTH",2,"FW","Fall 2015","Acrosorium venulosum",0.285714285714286
1,"POINT LOMA","SOUTH",2,"FW","Fall 2015","Acrosorium venulosum",0.142857142857143
1,"POINT LOMA","SOUTH",2,"FW","Fall 2015","Acrosorium venulosum",0.428571428571429
1,"POINT LOMA","SOUTH",3,"CONTROL","Fall 2015","Acrosorium venulosum",0.714285714285714
1,"POINT LOMA","SOUTH",3,"CONTROL","Fall 2015","Acrosorium venulosum",0.142857142857143
1,"POINT LOMA","SOUTH",3,"CONTROL","Fall 2015","Acrosorium venulosum",0
1,"POINT LOMA","SOUTH",4,"IS","Fall 2015","Acrosorium venulosum",0.285714285714286
1,"POINT LOMA","SOUTH",4,"IS","Fall 2015","Acrosorium venulosum",0.142857142857143
1,"POINT LOMA","SOUTH",4,"IS","Fall 2015","Acrosorium venulosum",0.142857142857143
2,"POINT LOMA","CENTRAL",1,"IS","Fall 2015","Acrosorium venulosum",0.142857142857143
2,"POINT LOMA","CENTRAL",1,"IS","Fall 2015","Acrosorium venulosum",0
2,"POINT LOMA","CENTRAL",1,"IS","Fall 2015","Acrosorium venulosum",0.142857142857143
2,"POINT LOMA","CENTRAL",2,"FW","Fall 2015","Acrosorium venulosum",0.428571428571429
2,"POINT LOMA","CENTRAL",2,"FW","Fall 2015","Acrosorium venulosum",0
2,"POINT LOMA","CENTRAL",2,"FW","Fall 2015","Acrosorium venulosum",0.714285714285714
2,"POINT LOMA","CENTRAL",3,"FS","Fall 2015","Acrosorium venulosum",0
2,"POINT LOMA","CENTRAL",3,"FS","Fall 2015","Acrosorium venulosum",0.285714285714286
2,"POINT LOMA","CENTRAL",3,"FS","Fall 2015","Acrosorium venulosum",0.571428571428571
2,"POINT LOMA","CENTRAL",4,"CONTROL","Fall 2015","Acrosorium venulosum",0.285714285714286
2,"POINT LOMA","CENTRAL",4,"CONTROL","Fall 2015","Acrosorium venulosum",0
2,"POINT LOMA","CENTRAL",4,"CONTROL","Fall 2015","Acrosorium venulosum",0.285714285714286
3,"POINT LOMA","NORTH",1,"FW","Fall 2015","Acrosorium venulosum",0
3,"POINT LOMA","NORTH",1,"FW","Fall 2015","Acrosorium venulosum",0.142857142857143
3,"POINT LOMA","NORTH",1,"FW","Fall 2015","Acrosorium venulosum",0
3,"POINT LOMA","NORTH",2,"FS","Fall 2015","Acrosorium venulosum",0.142857142857143
3,"POINT LOMA","NORTH",2,"FS","Fall 2015","Acrosorium venulosum",0.142857142857143
3,"POINT LOMA","NORTH",2,"FS","Fall 2015","Acrosorium venulosum",0.428571428571429
3,"POINT LOMA","NORTH",3,"IS","Fall 2015","Acrosorium venulosum",0.285714285714286
3,"POINT LOMA","NORTH",3,"IS","Fall 2015","Acrosorium venulosum",0
3,"POINT LOMA","NORTH",3,"IS","Fall 2015","Acrosorium venulosum",0.142857142857143
3,"POINT LOMA","NORTH",4,"CONTROL","Fall 2015","Acrosorium venulosum",0.142857142857143
3,"POINT LOMA","NORTH",4,"CONTROL","Fall 2015","Acrosorium venulosum",0
3,"POINT LOMA","NORTH",4,"CONTROL","Fall 2015","Acrosorium venulosum",0.142857142857143
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.75
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.625
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.625
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.5625
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.8125
4,"POINT LOMA","SOUTH",1,"FS","Spring 2016","Acrosorium venulosum",0.375
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.3125
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.125
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.4375
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.1875
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.1875
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.1875
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",2,"FW","Spring 2016","Acrosorium venulosum",0.375
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.125
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.5625
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.4375
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.0625
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.1875
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.125
4,"POINT LOMA","SOUTH",3,"CONTROL","Spring 2016","Acrosorium venulosum",0.25
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.25
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.875
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.1875
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.8125
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.5
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.375
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.75
4,"POINT LOMA","SOUTH",4,"IS","Spring 2016","Acrosorium venulosum",0.6875
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0.25
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0.375
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0.25
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",1,"IS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0.0625
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0.1875
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",2,"FW","Spring 2016","Acrosorium venulosum",0.0625
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0.1875
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0.5
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0.25
5,"POINT LOMA","CENTRAL",3,"FS","Spring 2016","Acrosorium venulosum",0.1875
5,"POINT LOMA","CENTRAL",4,"CONTROL","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",4,"CONTROL","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",4,"CONTROL","Spring 2016","Acrosorium venulosum",0.0625
5,"POINT LOMA","CENTRAL",4,"CONTROL","Spring 2016","Acrosorium venulosum",0
5,"POINT LOMA","CENTRAL",4,"CONTROL","Spring 2016","Acrosorium venulosum",0.25
