"Timestamp","Dissolved Oxygen (mg/L)","Temperature (C)","Comment","Site","Folder","Unit ID"
"4/7/2017 07:03:40","8.5","10.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:03:45","8.6","10.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:03:50","8.6","10.8","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:03:55","8.7","10.8","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:00","8.7","10.9","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:05","8.7","10.9","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:10","8.7","11","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:15","8.7","11","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:20","8.8","11.1","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:25","8.8","11.1","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:30","8.8","11.1","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:35","8.8","11.2","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:40","8.8","11.2","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:45","8.8","11.2","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:50","8.8","11.3","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:04:56","8.8","11.3","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:01","8.8","11.4","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:06","8.8","11.4","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:11","8.9","11.4","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:16","8.8","11.4","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:21","8.8","11.5","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:26","8.8","11.5","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:31","8.8","11.5","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:36","8.8","11.6","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:41","8.8","11.6","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:46","8.8","11.6","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:51","8.9","11.6","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:05:56","8.8","11.6","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:01","8.8","11.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:06","8.9","11.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:11","8.9","11.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:16","8.9","11.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:21","8.9","11.7","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:26","8.8","11.8","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:31","8.8","11.8","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:36","8.9","11.8","","STILLWATER COVE","CARMEL BAY","14A100509"
"4/7/2017 07:06:41","8.9","11.8","","STILLWATER COVE","CARMEL BAY","14A100509"
